단지명,주소,전화번호,세대수,시도,시군구,동리,kaptCode,관리업체,시공사,준공년도
주안 현광 아파트,,,273.0,인천광역시,미추홀구,주안동,A40283601, ,(주)현광종합건설,1995
부평금호타운,,,2539.0,인천광역시,부평구,청천동,A40376510,(주)무림하우징,금호건설,1998
청천푸르지오아파트,,,2257.0,인천광역시,부평구,청천동,A40376609,(주)화신지엠에스,(주)대우건설,1998
부평 동아1단지 아파트,,,2475.0,인천광역시,부평구,부평동,A40376107,(주)대한주택개발,동아건설,1986
부평 대림 아파트,,,1470.0,인천광역시,부평구,부평동,A40376305,씨에스케이(주),대림건설,1989
삼산타운1단지아파트,,,1873.0,인천광역시,부평구,삼산동,A40309015,에이비엠(주),"송촌, 남양, 신일건설",2005
부평현대1단지,,,2204.0,인천광역시,부평구,산곡동,A40377504,미래TMS(주),현대산업개발(주),1985
부평2주구 현대아파트,,,1496.0,인천광역시,부평구,산곡동,A40377603,미래티엠에스,현대산업개발(주),1987
행복한마을삼산서해그랑블,,,822.0,인천광역시,부평구,삼산동,A40309009,대원종합관리(주),(주)서해종합건설,2004
부평3주구 현대아파트,,,1200.0,인천광역시,부평구,산곡동,A40377702,율산개발주식회사,현대건설(주),1989
삼산타운2단지주공,,,1622.0,인천광역시,부평구,삼산동,A40309014,(주)쌍용개발,두산건설,2005
금호이수마운트밸리,,,1365.0,인천광역시,부평구,산곡동,A40302003,에이비엠(주),"금호,이수건설",2007
삼산주공미래타운4단지,,,968.0,인천광역시,부평구,삼산동,A40309011,서림주택관리(주),KT,2000
래미안부평아파트,,,1145.0,인천광역시,부평구,부평동,A10027238,에이비엠(주),삼성물산,2014
부개역푸르지오,,,1054.0,인천광역시,부평구,부개동,A40372301,우리관리(주),(주)대우건설,2010
부개주공3단지아파트,,,1724.0,인천광역시,부평구,부개동,A40373010,에이제이대원 주식회사,"(주)한양,서광(주), 삼양건설(주)",1996
부평 욱일 아파트,,,780.0,인천광역시,부평구,부평동,A40373904,에이비엠(주),욱일주택,1990
갈산 주공1단지 아파트,,,1650.0,인천광역시,부평구,갈산동,A40375111,주식회사 푸른종합주택관리,대한주택공사,1992
부개 주공6단지 아파트,,,1240.0,인천광역시,부평구,부개동,A40373209,(주)쌍용개발,LH공사,1997
우성1.2.3차아파트,,,1980.0,인천광역시,부평구,산곡동,A40378406,(주)무림하우징,(주)우성건설,1989
부개 푸른마을삼부한신 아파트,,,1020.0,인천광역시,부평구,부개동,A40372706,에이비엠(주),"삼부토건(주),한신공영(주)",1999
부평 경남1차 아파트,,,810.0,인천광역시,부평구,산곡동,A40378104,에이비엠(주),경남기업,1990
동암 신동아 아파트,,,1690.0,인천광역시,부평구,십정동,A40375901,(주)쌍용개발,"신동아건설(주), (주)창보종합건설, 백영건설(주)",2000
갈산이안아파트,,,414.0,인천광역시,부평구,갈산동,A40380103,(주)푸른안전산업,대우자동차판매(주)건설부문,2001
산곡 한신휴 아파트,,,703.0,인천광역시,부평구,산곡동,A40383708,미래티엠에스,한신공영(주),2003
부개 주공5단지 아파트,,,960.0,인천광역시,부평구,부개동,A40373105,에이비엠(주),풍창. 삼협. 기산,1998
산곡 한화1차 아파트,,,744.0,인천광역시,부평구,산곡동,A40377310,주식회사 푸른종합주택관리,(주)한화건설,1997
십정주공뜨란채,,,920.0,인천광역시,부평구,십정동,A40313104,우리관리(주),대한토지주택공사,2005
부개 주공1단지 아파트,,,1044.0,인천광역시,부평구,부개동,A40375607,주식회사 푸른종합주택관리,"화신종합건설,한진건설,풍창건설,경우전기,한진건설,세원종합조경",1996
산곡 우성4차 아파트,,,494.0,인천광역시,부평구,산곡동,A40374901,에이비엠(주),우성,1991
갈산대동1차아파트,,,420.0,인천광역시,부평구,갈산동,A40370607,(주)쌍용개발,대동건설주식회사,1992
한신(137-8),,,542.0,인천광역시,부평구,산곡동,A40383501,율산개발 유한회사,한신공영,1985
부평경남3차 아파트,,,916.0,인천광역시,부평구,산곡동,A40377111,미래TMS(주),경남기업(주),1992
서해그랑블,,,454.0,인천광역시,부평구,삼산동,A40309018,우리관리(주),서해건설,2011
청천광명,,,418.0,인천광역시,부평구,청천동,A40385807,동우개발 주식회사,(주)광명주택,1995
브라운스톤백운,,,261.0,인천광역시,부평구,십정동,A40313003,미래TMS(주),이수건설(주),2014
삼산미래타운3단지,,,946.0,인천광역시,부평구,삼산동,A40309010,율산개발 유한회사,(주)한양,2000
산곡푸르지오,,,717.0,인천광역시,부평구,산곡동,A40302004,(주)쌍용개발,대우건설,2011
산곡 경남4차 아파트,,,776.0,인천광역시,부평구,산곡동,A40378303,(주)쌍용개발,경남건설,1994
갈산 동아 아파트,,,280.0,인천광역시,부평구,갈산동,A40370702,씨에스케이(주),동아주택,1993
삼산주공미래타운2단지 아파트,,,684.0,인천광역시,부평구,삼산동,A40309007,(주)미래티엠에스,동성종합건설 외,2000
삼산삼보아파트,,,630.0,인천광역시,부평구,삼산동,A40309016, ,삼보주택개발(주),1990
부평두산위브아파트,,,280.0,인천광역시,부평구,부평동,A40301001,에이비엠(주),두산건설,2005
부개 뉴서울 아파트,,,1140.0,인천광역시,부평구,부개동,A40372608,동우개발 주식회사,뉴서울 주택건설,1989
산곡7차 한양아파트,,,320.0,인천광역시,부평구,산곡동,A40383604,미래TMS(주),(주)한양,1992
일신풍림아파트,,,750.0,인천광역시,부평구,일신동,A40376001,(주)화신지엠에스,풍림산업(주),1995
부평 동아아파트2단지,,,2128.0,인천광역시,부평구,부평동,A40376206,대원에스테이트서비스(주),동아건설산업,1995
산곡 한양2단지 아파트,,,720.0,인천광역시,부평구,산곡동,A40374809, ,(주)한양건설,1984
청천 무지개,,,220.0,인천광역시,부평구,청천동,A40385803,미래TMS(주),서만건설,1993
부평삼산엠코타운,,,708.0,인천광역시,부평구,삼산동,A40309101,우리관리(주),(주)엠코,2007
삼산임광그대가,,,393.0,인천광역시,부평구,삼산동,A40309002,에이비엠(주),임광토건,2008
부평1동 대우 아파트,,,308.0,인천광역시,부평구,부평동,A40373403,(주)쌍용개발,대우건설,1998
산곡 한화2차 아파트,,,1280.0,인천광역시,부평구,산곡동,A40377312,(주)쌍용개발,(주)한화건설,1999
갈산1동 태화 아파트,,,410.0,인천광역시,부평구,갈산동,A40370302,(주)쌍용개발,태화건설,1994
삼산타운7단지,,,1314.0,인천광역시,부평구,삼산동,A40309013,에이비엠(주),대한주택공사,2004
부개지구보람아파트,,,576.0,인천광역시,부평구,부개동,A40372803,세화종합관리(주),"신명주택건설, 상우종합건설",1998
삼산주공미래타운5단지,,,620.0,인천광역시,부평구,삼산동,A40309006,에이비엠(주),(주)한양,2000
부평 프리상뜨아파트,,,335.0,인천광역시,부평구,산곡동,A40302002,(주)쌍용개발,위드종합건설(주),2004
청천 우림필유,,,209.0,인천광역시,부평구,청천동,A40385702, ,우림산업개발,2005
갈산 하나 아파트,,,526.0,인천광역시,부평구,갈산동,A40378608,씨에스케이(주),한국공영,1992
부평금호어울림,,,290.0,인천광역시,부평구,십정동,A40313001,에이비엠(주),금호건설(주),2008
부개 욱일 아파트,,,468.0,인천광역시,부평구,부개동,A40381302, ,욱일주택,1988
청천쌍용,,,510.0,인천광역시,부평구,청천동,A40385808,주식회사 대승케이비엠,쌍용건설,1990
광명12차,,,456.0,인천광역시,부평구,삼산동,A40309004, ,광명주택,1990
갈산 아주 아파트,,,340.0,인천광역시,부평구,갈산동,A40378805,(주)화신지엠에스,아주건설,1992
삼산벽산블루밍,,,412.0,인천광역시,부평구,삼산동,A40309003,주식회사 푸른종합주택관리,(주)벽산,2005
부개대동아파트,,,708.0,인천광역시,부평구,부개동,A40381304,세화종합관리(주),대동건설,1988
갈산 팬더 아파트,,,280.0,인천광역시,부평구,갈산동,A40371003,주식회사 푸른종합주택관리,(주)중부종합건설,1993
부개 성일 아파트,,,415.0,인천광역시,부평구,부개동,A40372401, ,성일건설,1990
갈산2동 태화아파트,,,390.0,인천광역시,부평구,갈산동,A40370906,(주)화신지엠에스,태화건설(주),1992
삼산신성미소지움,,,1030.0,인천광역시,부평구,삼산동,A40309012,미래TMS(주),신성건설,2005
부평1동 한국 아파트,,,180.0,인천광역시,부평구,부평동,A40381801,(주)신화비엠씨,청방건설(주),1998
일신 주공 아파트,,,967.0,인천광역시,부평구,일신동,A40376402,우리관리(주),"두진,동신",1995
산곡1차현대,,,384.0,인천광역시,부평구,산곡동,A40383304,미래TMS(주),현대,1999
부평 신성미소지움아파트,,,298.0,인천광역시,부평구,부평동,A40383101,(주)화신지엠에스,신성건설(주),2005
부개동도센트리움,,,217.0,인천광역시,부평구,부개동,A40379801,(주)경진관리,동도건설,2014
갈산두산,,,574.0,인천광역시,부평구,갈산동,A40378909,에이제이대원 주식회사,(주)동산토건,1992
갈산1동 한국 아파트,,,520.0,인천광역시,부평구,갈산동,A40370404,동우개발 주식회사,한국종합건설(주),1993
갈산 대동2차 아파트,,,623.0,인천광역시,부평구,갈산동,A40370610,서림주택관리(주),대동건설(주),1993
청천인향,,,266.0,인천광역시,부평구,청천동,A40303101,(주)화신지엠에스,인향건설,1994
부평창보아파트,,,202.0,인천광역시,부평구,부평동,A40381802,주식회사 푸른종합주택관리,창보종합건설(주),1999
부평삼익,,,375.0,인천광역시,부평구,청천동,A40385805,주식회사 푸른종합주택관리,삼익주택,1986
미도7,,,384.0,인천광역시,부평구,청천동,A40385806,미래TMS(주),(주)가나안 진흥 건설,1989
대동(494-1),,,686.0,인천광역시,부평구,부개동,A40381402,에이비엠(주),(주)대동건설,1991
부평 자이아파트,,,719.0,인천광역시,부평구,구산동,A40312001,쌍용개발,GS자이,2006
산곡 무지개 아파트,,,330.0,인천광역시,부평구,산곡동,A40383705,서림주택관리(주),(주)서만건설,1991
부개 주공7단지 아파트,,,957.0,인천광역시,부평구,부개동,A40372503,에이비엠주식회사,대한주택공사,1998
동원6차,,,348.0,인천광역시,부평구,산곡동,A40383303, ,동원건설주식회사,1989
갈산 한국 아파트,,,280.0,인천광역시,부평구,갈산동,A40376904,화신지엠에스(주),한국주택건설,1993
청천영진아파트,,,196.0,인천광역시,부평구,청천동,A40385301,미래TMS(주),(주) 영진주택,1995
부평 한국 아파트,,,580.0,인천광역시,부평구,부개동,A40372102, ,한국종합건설(주),1992
청천미가로,,,170.0,인천광역시,부평구,청천동,A40303001,주식회사 푸른종합주택관리,(주)지구종합건설,2006
산곡 우성5차 아파트,,,299.0,인천광역시,부평구,산곡동,A40383702,우리관리(주),우성건설(주),1996
검암서해그랑블,,,950.0,인천광역시,서구,검암동,A40484710,(주)쌍용개발,서해종합건설,2003
루원e편한세상하늘채,,,3331.0,인천광역시,서구,신현동,A40478504,(주)케이비아주,"대림, 코오롱",2010
검단대림e-편한세상,,,1003.0,인천광역시,서구,왕길동,A40429005,율산개발 유한회사,대림산업(주),2007
당하 탑스빌 아파트,,,1368.0,인천광역시,서구,당하동,A40477109,대원에스테이트서비스(주),"영남,신대진,성웅",1998
가정 한국 아파트,,,620.0,인천광역시,서구,가정동,A40470401,(주)쌍용개발,한국종합건설(주),1992
청라웰카운티1차아파트,,,692.0,인천광역시,서구,청라동,A40470302,신화비엠씨(주),현대건설,2010
청라제일풍경채,,,1071.0,인천광역시,서구,청라동,A40471916,우리관리(주),제일건설(주),2012
석남 금호어울림,,,769.0,인천광역시,서구,석남동,A40482703,우리관리(주),금호건설(주),2007
청라푸르지오,,,751.0,인천광역시,서구,청라동,A40471924,(주)쌍용개발,대우건설(주),2013
청라한양수자인아파트,,,566.0,인천광역시,서구,청라동,A40471910,(주)쌍용개발,(주)한양,2011
청라자이아파트,,,884.0,인천광역시,서구,청라동,A40470301,우리관리(주),GS건설(주),2010
원당신안실크벨리아파트,,,936.0,인천광역시,서구,당하동,A40431007,율산개발(주),신안건설(주),2004
드림파크어울림1단지,,,731.0,인천광역시,서구,왕길동,A40473610,(주)쌍용개발,금호건설,2010
마전영남탑스빌,,,1042.0,인천광역시,서구,마전동,A40473018,(주)쌍용개발,영남건설,2000
검암2차풍림아이원,,,718.0,인천광역시,서구,검암동,A40484709,주식회사 대승케이비엠,풍림산업(주),2004
청라29블럭 호반베르디움,,,2134.0,인천광역시,서구,청라동,A40471920,주식회사 푸른종합주택관리,호반건설(주),2012
루원시티 어울림,,,1243.0,인천광역시,서구,가정동,A10027936,미래TMS(주),금호건설 등,2015
가좌 한신휴플러스아파트,,,2276.0,인천광역시,서구,가좌동,A40480710,(주)쌍용개발,한신공영(주),2007
가이아샹베르2차아파트,,,560.0,인천광역시,서구,경서동,A40471902,대원에스테이트서비스(주),"가이아 건설(주),세계건설(주)",2005
서인천 월드메르디앙아파트,,,778.0,인천광역시,서구,석남동,A40482402,에이비엠(주),재건축조합,2006
청라롯데캐슬,,,828.0,인천광역시,서구,청라동,A40471921,우리관리(주),롯데건설,2013
청라중흥S클래스1단지,,,476.0,인천광역시,서구,청라동,A40470305,(주)신성티엠,(합)중흥주택,2010
청라린스트라우스,,,590.0,인천광역시,서구,청라동,A40470313,율산개발(주),(주)우미건설,2013
연희극동늘푸른 아파트,,,998.0,인천광역시,서구,심곡동,A40479104,주식회사 대승케이비엠,극동건설,1997
검단힐스테이트4단지,,,588.0,인천광역시,서구,당하동,A40472601,에이제이대원 주식회사,현대건설,2012
마전대주파크빌,,,346.0,인천광역시,서구,마전동,A40426007,(주)쌍용개발,(주)대주건설,2005
왕길 유승 아파트,,,608.0,인천광역시,서구,왕길동,A40429004,에이비엠(주),유승건설,2000
당하1차 풍림아이원 아파트,,,442.0,인천광역시,서구,당하동,A40431004,(주)화신지엠에스,풍림산업(주),2004
원당풍림아이원아파트,,,1739.0,인천광역시,서구,당하동,A40431010,(주)화신지엠에스,풍림산업,2004
검단아이파크,,,573.0,인천광역시,서구,마전동,A40426015,우리관리(주),현대산업개발,2007
경서우정에쉐르,,,292.0,인천광역시,서구,경서동,A40417001,(주)화신지엠에스,우정건설주식회사,2006
청라엑슬루타워,,,616.0,인천광역시,서구,청라동,A40470311,(주)쌍용개발,주식회사풍림산업,2011
청라반도유보라2,,,754.0,인천광역시,서구,청라동,A40471918,에이비엠(주),반도건설,2012
불로삼보해피하임2단지아파트,,,482.0,인천광역시,서구,불로동,A40427004,미래TMS(주),(주)삼보건영,2007
불로월드,,,1699.0,인천광역시,서구,불로동,A40477510,주식회사 푸른종합주택관리,월드건설,1998
당하 대주파크빌아파트,,,276.0,인천광역시,서구,당하동,A40431001,에이비엠(주),대주건설,2006
청라호반베르디움2차아파트,,,1051.0,인천광역시,서구,청라동,A40470308,(주)쌍용개발,호반건설,2011
불로 삼보해피하임1단지아파트,,,384.0,인천광역시,서구,불로동,A40427002,주식회사 푸른종합주택관리,(주)삼보건영,2007
연희삼성아파트,,,421.0,인천광역시,서구,심곡동,A40483502,(주)무림하우징,삼성물산,1997
원당 e-편한세상 아파트,,,449.0,인천광역시,서구,원당동,A40432001,우리관리주식회사,대림산업,2004
청라14단지호반베르디움,,,745.0,인천광역시,서구,청라동,A40470306,(주)쌍용개발,(주)호반건설,2011
검단힐스테이트3차,,,651.0,인천광역시,서구,오류동,A10022450,(주)신화시스템즈,현대건설,2010
검단자이1단지,,,418.0,인천광역시,서구,오류동,A40473608,(주)케이비아주,GS건설(주),2010
검단힐스테이트,,,465.0,인천광역시,서구,마전동,A40426013,에이비엠(주),현대건설,2007
마전하나,,,477.0,인천광역시,서구,마전동,A40473314,미래티엠에스,(주)한국공영,2001
마전대원레스피아1차,,,423.0,인천광역시,서구,마전동,A40426010,씨에스케이(주),대원산업개발(주),2004
청라동양엔파트,,,564.0,인천광역시,서구,청라동,A40471919,(주)화신지엠에스,(주)동양,2012
LG원당자이,,,938.0,인천광역시,서구,원당동,A40432003,(주)한빛관리,(주)정광종합건설,2004
원당 동문아파트,,,434.0,인천광역시,서구,당하동,A40431003,에이제이대원 주식회사,동문건설,2004
가정 뉴서울 아파트,,,555.0,인천광역시,서구,가정동,A40471206,동우개발 주식회사,뉴서울건설,1990
청라한라비발디,,,24.0,인천광역시,서구,청라동,A40471908,주식회사 대승케이비엠,한라건설(주),2011
가좌 진주3단지 아파트,,,798.0,인천광역시,서구,가좌동,A40476209, ,라이프 주택개발(주),1989
검단1차피오레,,,917.0,인천광역시,서구,마전동,A40426017,(주)쌍용개발,대주건설,2007
청라서해그랑블,,,336.0,인천광역시,서구,청라동,A40470307,율산개발(주),(주)서해종합건설,2010
검암신명2차,,,325.0,인천광역시,서구,검암동,A40484707,(주)쌍용개발,신명종합건설,2003
검암1차신명스카이뷰,,,268.0,인천광역시,서구,검암동,A40470703,(주)화신지엠에스,신명종합건설(주),2003
당하3차풍림아이원,,,579.0,인천광역시,서구,마전동,A40426016,주식회사 대승케이비엠,풍림산업,2004
당하 푸르지오아파트,,,719.0,인천광역시,서구,당하동,A40473206,(주)쌍용개발,(주)대우건설,2005
청라더샵레이크파크,,,766.0,인천광역시,서구,청라동,A40471923,우리관리(주),포스코건설,2013
태평샹베르1차아파트,,,572.0,인천광역시,서구,경서동,A40470903,(주)태룡에스디,(주)태평주택,2005
한화꿈에그린,,,1172.0,인천광역시,서구,청라동,A40471914,(주)화신지엠에스,한화건설,2012
왕길 동남디아망아파트,,,308.0,인천광역시,서구,왕길동,A40429001,씨에스케이(주),동남주택(주),2006
청라LH,,,1767.0,인천광역시,서구,청라동,A40471906,(주)율산개발,tec건설,2011
검단금호어울림,,,236.0,인천광역시,서구,마전동,A40482003,서림주택관리(주),금호건설,2004
연희 대동주택 아파트,,,1048.0,인천광역시,서구,심곡동,A40479205,쌍용개발,대동주택,1995
청라중흥S클래스2단지,,,174.0,인천광역시,서구,청라동,A40470303,(주)화신지엠에스,중흥건설(주),2010
불로e편한세상,,,545.0,인천광역시,서구,불로동,A40427006,주식회사 대승케이비엠,(주)대림건설,2005
가정 한신그랜드힐빌리지,,,920.0,인천광역시,서구,가정동,A40423302,에스엠피티 주식회사,한신공영,1992
석남 경남아너스빌,,,471.0,인천광역시,서구,석남동,A40482902,씨에스케이,경남건설,2006
청라26동양엔파트,,,256.0,인천광역시,서구,청라동,A40471904,대원에스테이트서비스(주),동양메이저건설,2011
당하 KCC스위첸 아파트,,,1015.0,인천광역시,서구,당하동,A40472208,우리관리(주),kcc건설,2005
검단현대힐스테이트2차,,,309.0,인천광역시,서구,마전동,A40473124,에이비엠(주),현대건설,2010
인천검단힐스테이트6차,,,454.0,인천광역시,서구,당하동,A40472603,(주)미래에이비엠,현대건설(주),2013
검단우림필유,,,429.0,인천광역시,서구,마전동,A40426011,(주)쌍용개발,(주)우림건설,2007
마전 금호어울림,,,163.0,인천광역시,서구,마전동,A40426001,대아산업(주),금호산업(주),2007
은빛마을풍림1차,,,280.0,인천광역시,서구,검암동,A40479811,(주)동우개발,풍림건설,2003
당하2차풍림아이원,,,400.0,인천광역시,서구,마전동,A40473108,(주)쌍용개발,풍림산업(주),2004
검암풍림3차,,,341.0,인천광역시,서구,검암동,A40484708,에이비엠(주),풍림산업(주),2004
마전풍림아이원3차,,,309.0,인천광역시,서구,마전동,A40473120,에이비엠(주),풍림산업개발,2005
청라웰카운티 2차아파트,,,464.0,인천광역시,서구,청라동,A40470312,율산개발 유한회사,신동아건설,2012
검암신명4차,,,311.0,인천광역시,서구,검암동,A40484706,에이비엠(주),신명종합건설,2004
원당2차금호어울림아파트,,,269.0,인천광역시,서구,원당동,A40473701,주식회사 대승케이비엠,금호건설,2005
마전4차풍림아이원,,,216.0,인천광역시,서구,마전동,A40482002,태림주택종합관리(주),풍림산업(주),2007
청라호반베르디움20블럭,,,620.0,인천광역시,서구,청라동,A40470310,우리관리(주),호반건설,2011
심곡 한국 아파트,,,392.0,인천광역시,서구,심곡동,A40483401,미래티엠에스,한국종합건설,1995
신명스카이뷰드림,,,390.0,인천광역시,서구,왕길동,A40429003, ,신명종합건설,2004
가좌 풍림 아파트,,,358.0,인천광역시,서구,가좌동,A40481303,에이비엠(주),(주)창보종합건설,1996
연희광명17차아파트,,,604.0,인천광역시,서구,심곡동,A40483503,대한종합개발(주),광명주택,1997
검단힐스테이트5차,,,412.0,인천광역시,서구,당하동,A40472602,에이비엠(주),(주)현대건설,2013
청라힐데스하임,,,1284.0,인천광역시,서구,청라동,A40470309,주식회사 푸른종합주택관리,원건설(주),2011
청라힐스테이트커낼뷰,,,244.0,인천광역시,서구,청라동,A40471913,(주)화신지엠에스,(주)현대건설,2012
검단2차아이파크,,,409.0,인천광역시,서구,마전동,A40473123,우리관리(주),현대산업개발,2010
검암1차삼보해피하임,,,252.0,인천광역시,서구,검암동,A40484702,미래TMS(주),삼보공영개발(주),2003
석남태화아파트,,,299.0,인천광역시,서구,석남동,A40482302,씨에스케이(주),태화건설(주),1990
검암2차삼보해피하임,,,288.0,인천광역시,서구,검암동,A40484705,미래TMS(주),삼보공영개발(주),2003
마전동아,,,1351.0,인천광역시,서구,마전동,A40472719,(주)쌍용개발,동아건설(주),1999
검단1차풍림아파트,,,318.0,인천광역시,서구,왕길동,A40473606,쌍용개발(주),프리마건설,2004
퀸스타운길훈아파트,,,628.0,인천광역시,서구,불로동,A40427008,세화종합관리(주),주식회사 길훈종합건설,1999
미래지향아파트,,,128.0,인천광역시,서구,마전동,A10023072,에이비엠(주),이지종합건설 주식회사,2008
신현효성아파트,,,452.0,인천광역시,서구,신현동,A40483002,자치관리,효성중공업(주),1991
금호어울림1차(원당지구 108BL 3L),,,341.0,인천광역시,서구,당하동,A40431002,주식회사 대승케이비엠,금호산업(주),2004
가좌 유영그랑빌아파트,,,200.0,인천광역시,서구,가좌동,A40481601,(주)쌍용개발,유영건설,2004
검단서해아파트,,,464.0,인천광역시,서구,마전동,A40426012,(주)대아산업,서해건설,1992
연희태영데시앙,,,390.0,인천광역시,서구,연희동,A40483605,(주)무림하우징,태영,1996
석남 신광2차 아파트,,,191.0,인천광역시,서구,석남동,A40422001,미래TMS(주),신광산업종합개발,1997
가좌 현대3차 아파트,,,263.0,인천광역시,서구,가좌동,A40480901,화신지엠에스,현대건설,1998
당하동태평,,,528.0,인천광역시,서구,당하동,A40471005,신한영주택관리(주),태평건설,1999
드림파크어울림2단지,,,203.0,인천광역시,서구,왕길동,A40473611,서림주택관리(주),금호건설,2010
청라 디 이스트,,,734.0,인천광역시,서구,청라동,A40471917,신한영관리(주),동문건설(주),2012
검암마젤란21,,,176.0,인천광역시,서구,검암동,A40484701,에이비엠(주),(주)유진기업,2006
석남 우림필유,,,288.0,인천광역시,서구,석남동,A40482901,율산개발(주),우림건설(주),2006
검단자이2단지,,,413.0,인천광역시,서구,왕길동,A40473609,(주)쌍용개발,GS건설(주),2010
청라한일베라체,,,257.0,인천광역시,서구,청라동,A40471905,우리관리(주),한일건설(주),2011
금곡 하나 아파트,,,299.0,인천광역시,서구,금곡동,A40433001,에이비엠(주),한국공영(주),1999
검단2차풍림아이원,,,174.0,인천광역시,서구,마전동,A40473121,서림주택관리(주),풍림산업,2005
공촌 경남 아파트,,,232.0,인천광역시,서구,공촌동,A40420001,신대한관리,경남기업,1998
금곡 동남 아파트,,,370.0,인천광역시,서구,금곡동,A40433002,미래TMS(주),동남기업,1999
가좌 범양파크 아파트,,,510.0,인천광역시,서구,가좌동,A40480705, ,범양건설(주),1990
연희한국1차,,,356.0,인천광역시,서구,연희동,A40483604,대한종합개발(주),한국종합건설(주),1994
석남 대명 아파트,,,184.0,인천광역시,서구,석남동,A40482201,동우개발 주식회사,(주)대명건설,1998
검암해들마을신명3차,,,282.0,인천광역시,서구,검암동,A40484704,에이비엠(주),신명종합건설,2004
청라메이루즈 커낼파크뷰,,,263.0,인천광역시,서구,청라동,A40470304,(주)태룡에스디,광명건설,2011
석남 신동아 아파트,,,190.0,인천광역시,서구,석남동,A40482301,신화비엠씨(주),태창주택,1996
송도글로벌캠퍼스푸르지오,,,1703.0,인천광역시,연수구,송도동,A40673921,주식회사 에스티에스텍,주)대우건설,2013
옥련럭키송도,,,1304.0,인천광역시,연수구,옥련동,A40677113,신화비엠씨(주),LG,1993
송도더샵그린스퀘어,,,1516.0,인천광역시,연수구,송도동,A40673922,우리관리주식회사,포스코건설(주),2014
연수2차우성아파트,,,2044.0,인천광역시,연수구,연수동,A40676307,주식회사 한빛종합관리,우성건설,1994
송도더샵엑스포아파트,,,1337.0,인천광역시,연수구,송도동,A40673901,우리관리(주),포스코 건설,2009
연수 대우삼환 아파트,,,1776.0,인천광역시,연수구,동춘동,A40613207,광인산업(주),대우삼환,1994
연수승기마을,,,1000.0,인천광역시,연수구,연수동,A40681703,일신주택관리(주),코오롱건설,1992
송도더샵퍼스트월드,,,1596.0,인천광역시,연수구,송도동,A40684013,(주)쌍용개발,포스코,2009
송도캐슬&해모로,,,1439.0,인천광역시,연수구,송도동,A40673920,(주)쌍용개발,"롯데건설,한진중공업",2013
아이파크송도,,,616.0,인천광역시,연수구,송도동,A40684005,에이비엠(주),현대산업개발(주),2005
송도푸르지오하버뷰,,,593.0,인천광역시,연수구,송도동,A40673906,우리관리(주),대우,2011
송도 금호어울림 아파트,,,510.0,인천광역시,연수구,송도동,A40684004,(주)쌍용개발,금호산업(주),2005
송도아트윈푸르지오아파트,,,999.0,인천광역시,연수구,송도동,A10027898,우리관리(주),대우건설(주),2015
송도 풍림아이원1단지아파트,,,1024.0,인천광역시,연수구,송도동,A40673412,쌍용개발,풍림산업,2005
연수한양1차아파트,,,1020.0,인천광역시,연수구,동춘동,A40613002,주식회사 대승케이비엠,한양(주),1994
옥련현대4차,,,1011.0,인천광역시,연수구,옥련동,A40678902,에이비엠(주),현대산업개발(주),1997
송도 풍림6단지,,,344.0,인천광역시,연수구,송도동,A40673101, ,풍림산업 주식회사,2005
송도 성지리벨루스아파트,,,626.0,인천광역시,연수구,송도동,A40684007,국제경보산업(주),성지건설(주),2006
연수삼성럭키,,,1080.0,인천광역시,연수구,동춘동,A40613003,서림주택관리(주),"삼성,럭키건설",1993
송도웰카운티2단지 아파트,,,798.0,인천광역시,연수구,송도동,A40684009,율산개발 유한회사,대우건설(주),2007
연수영남,,,622.0,인천광역시,연수구,연수동,A40611304,에이제이대원 주식회사,영남건설,1992
송도해모로월드뷰,,,638.0,인천광역시,연수구,송도동,A40673916,우리관리(주),(주)한진중공업,2012
송도 웰카운티1단지아파트,,,980.0,인천광역시,연수구,송도동,A40684011,대성티엠씨 주식회사,인천도시공사,2008
동춘풍림2차아파트,,,1200.0,인천광역시,연수구,동춘동,A40675305,미래티엠에스(주),풍림건설,1993
연수우성1차,,,1088.0,인천광역시,연수구,연수동,A40676305,주식회사 푸른종합주택관리,우성건설,1994
연수대동,,,768.0,인천광역시,연수구,연수동,A40681802,미래TMS(주),대동주택종합건설,1993
송도웰카운티4단지,,,465.0,인천광역시,연수구,송도동,A40673902,(주)쌍용개발,(주)풍림건설,2010
더샵센트럴파크1,,,729.0,인천광역시,연수구,송도동,A40673904,우리관리(주),(주)포스코건설,2010
더샵그린워크2차,,,665.0,인천광역시,연수구,송도동,A40673924,우리관리주식회사,포스코건설,2014
송도센트럴파크 푸르지오,,,551.0,인천광역시,연수구,송도동,A10027887,우리관리(주),대우건설,2015
송도자이하버뷰1단지,,,546.0,인천광역시,연수구,송도동,A40673908,우리관리(주),지에스건설,2011
송도 풍림아이원2단지아파트,,,958.0,인천광역시,연수구,송도동,A40673510,서림주택관리(주),풍림산업,2005
송도 더샵 그린워크3차 18-1BL,,,780.0,인천광역시,연수구,송도동,A10027888,우리관리(주),포스코건설,2015
선학금호,,,540.0,인천광역시,연수구,선학동,A40670408,(주)쌍용개발,금호건설,1992
송도더샵마스터뷰 1단지,,,692.0,인천광역시,연수구,송도동,A10027925,우리관리(주),포스코건설,2015
